case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,dist_pre_cls,dist_post_cls,delta_cls,dist_pre_patch,dist_post_patch,delta_patch
NA0_LAG10_017,NA0_LAG10,0,10,6,5,unrelated,,,0.01730138063430786,0.012617230415344238,-0.004684150218963623,0.012165546417236328,0.011040270328521729,-0.0011252760887145996
NA0_LAG10_018,NA0_LAG10,0,10,6,1,unrelated,,,0.031152844429016113,0.008465170860290527,-0.022687673568725586,0.01672518253326416,0.005879223346710205,-0.010845959186553955
NA0_LAG10_018,NA0_LAG10,0,10,6,2,unrelated,,,0.060178160667419434,0.01920098066329956,-0.04097718000411987,0.024875879287719727,0.01601332426071167,-0.008862555027008057
NA0_LAG10_018,NA0_LAG10,0,10,6,3,unrelated,,,0.07930141687393188,0.010846257209777832,-0.06845515966415405,0.041769206523895264,0.009491384029388428,-0.032277822494506836
NA0_LAG10_018,NA0_LAG10,0,10,6,4,unrelated,,,0.0684887170791626,0.013863921165466309,-0.05462479591369629,0.0371396541595459,0.011186778545379639,-0.02595287561416626
NA0_LAG10_018,NA0_LAG10,0,10,6,5,unrelated,,,0.06447958946228027,0.012783229351043701,-0.05169636011123657,0.03677785396575928,0.009953320026397705,-0.026824533939361572
NA0_LAG10_019,NA0_LAG10,0,10,3,1,unrelated,,,0.06737673282623291,0.19659864902496338,0.12922191619873047,0.03472369909286499,0.18315356969833374,0.14842987060546875
NA0_LAG10_019,NA0_LAG10,0,10,3,2,unrelated,,,0.01841515302658081,0.18664312362670898,0.16822797060012817,0.01387256383895874,0.1769997477531433,0.16312718391418457
NA0_LAG10_019,NA0_LAG10,0,10,3,4,unrelated,,,0.023047149181365967,0.2032286524772644,0.18018150329589844,0.01382136344909668,0.18137019872665405,0.16754883527755737
NA0_LAG10_019,NA0_LAG10,0,10,3,5,unrelated,,,0.023607730865478516,0.21332305669784546,0.18971532583236694,0.014658868312835693,0.19457179307937622,0.17991292476654053
NA0_LAG10_019,NA0_LAG10,0,10,3,6,unrelated,,,0.030266880989074707,0.2096804976463318,0.17941361665725708,0.017782747745513916,0.18910634517669678,0.17132359743118286
NA0_LAG10_020,NA0_LAG10,0,10,6,1,unrelated,,,0.07376277446746826,0.010366380214691162,-0.0633963942527771,0.039888083934783936,0.008043885231018066,-0.03184419870376587
NA0_LAG10_020,NA0_LAG10,0,10,6,2,unrelated,,,0.13184231519699097,0.01498478651046753,-0.11685752868652344,0.06637251377105713,0.012605607509613037,-0.05376690626144409
NA0_LAG10_020,NA0_LAG10,0,10,6,3,unrelated,,,0.06307345628738403,0.010039448738098145,-0.05303400754928589,0.03703027963638306,0.007499396800994873,-0.029530882835388184
NA0_LAG10_020,NA0_LAG10,0,10,6,4,unrelated,,,0.09477090835571289,0.011599540710449219,-0.08317136764526367,0.05223238468170166,0.008768916130065918,-0.04346346855163574
NA0_LAG10_020,NA0_LAG10,0,10,6,5,unrelated,,,0.037990689277648926,0.015629112720489502,-0.022361576557159424,0.02275693416595459,0.013381481170654297,-0.009375452995300293
NA0_LAG10_021,NA0_LAG10,0,10,2,1,unrelated,,,0.035315871238708496,0.19998162984848022,0.16466575860977173,0.02040320634841919,0.16928189992904663,0.14887869358062744
NA0_LAG10_021,NA0_LAG10,0,10,2,3,unrelated,,,0.04552721977233887,0.17871230840682983,0.13318508863449097,0.0304182767868042,0.16048365831375122,0.13006538152694702
NA0_LAG10_021,NA0_LAG10,0,10,2,4,unrelated,,,0.045978844165802,0.1949237585067749,0.1489449143409729,0.02456367015838623,0.16982531547546387,0.14526164531707764
NA0_LAG10_021,NA0_LAG10,0,10,2,5,unrelated,,,0.017930984497070312,0.18985962867736816,0.17192864418029785,0.01118004322052002,0.16601431369781494,0.15483427047729492
